Price,Color,Mileage,Make,Model,City,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,year,full_option,Car Category
550000.0,Dark grey,137000.0,Peugeot,301,Cairo,Yes,Yes,Yes,Yes,2014,Yes,mid
400000.0,White,70000.0,Brilliance,X 30,Kom Hamada,No,No,No,No,2019,No,low
2200000.0,Black,30000.0,Skoda,Octavia A8,Nasr city,Yes,Yes,Yes,Yes,2022,Yes,high
1500000.0,White,22000.0,MG,6,Nasr city,Yes,Yes,Yes,Yes,2022,Yes,high
650000.0,White,200000.0,Toyota,Corolla,Quesna,No,No,No,No,2008,No,mid
3900000.0,Black,7000.0,Skoda,Octavia A8,El Haram,No,No,No,No,2024,No,high
190000.0,Dark grey,143000.0,Peugeot,405,Imbaba,No,No,No,No,2007,No,low
365000.0,Blue,370000.0,Chevrolet,Optra,Luxor,No,Yes,Yes,Yes,2009,No,low
335000.0,Dark grey,147000.0,Speranza,A620,Sharqia,Yes,Yes,Yes,Yes,2009,Yes,low
515000.0,White,189000.0,Chevrolet,Optra,Mokattam,Yes,Yes,Yes,Yes,2014,Yes,mid
300000.0,Green,100000.0,Mercedes,200,Mansoura,Yes,No,No,No,1985,No,low
640000.0,Black,90000.0,MG,5,Dokki,Yes,Yes,Yes,Yes,2020,Yes,mid
325000.0,Black,195000.0,Speranza,A620,Sharqia,Yes,Yes,Yes,No,2008,No,low
315000.0,Silver,142000.0,Speranza,A620,Sharqia,Yes,Yes,Yes,No,2007,No,low
1100000.0,Gray,49800.0,Fiat,Tipo,Tagamo3 - New Cairo,Yes,Yes,Yes,Yes,2021,Yes,mid
650000.0,Brown,97000.0,Peugeot,301,Tagamo3 - New Cairo,Yes,No,No,No,2016,No,mid
785000.0,Bronze,37000.0,Peugeot,301,Tagamo3 - New Cairo,Yes,No,No,Yes,2018,No,mid
800000.0,Silver,185000.0,Mitsubishi,Lancer EX Shark,Cairo,No,No,No,No,2016,No,mid
425000.0,White,280000.0,Chevrolet,Optra,Ismailia,No,No,No,No,2006,No,low
725000.0,Blue,70000.0,Opel,Astra,Cairo,No,No,No,No,2012,No,mid
800000.0,Black,140000.0,Mitsubishi,Lancer,Cairo,Yes,Yes,Yes,Yes,2016,Yes,mid
530000.0,Silver,213000.0,Mitsubishi,Lancer Puma,Faiyum,Yes,Yes,Yes,Yes,2008,Yes,mid
2000000.0,Dark grey,40000.0,Isuzu,D max,Mit Ghamr,No,No,No,No,2023,No,high
950000.0,Red,95000.0,MG,ZS,Maadi,Yes,Yes,Yes,Yes,2021,Yes,mid
960000.0,White,35000.0,Geely,Emgrand X7,Alexandria,Yes,Yes,Yes,Yes,2019,Yes,mid
270000.0,Gray,108000.0,Saipa,Pride,6 October,No,No,No,No,2014,No,low
565000.0,White,106000.0,Chery,Arrizo 5,Suez,No,Yes,Yes,Yes,2021,No,mid
680000.0,Black,130000.0,Hyundai,Accent RB,Cairo,Yes,Yes,Yes,Yes,2017,Yes,mid
770000.0,Dark red,150000.0,Mitsubishi,Lancer EX Shark,Cairo,No,No,No,No,2014,No,mid
600000.0,Black,190000.0,Nissan,Sunny,Obour City,Yes,Yes,Yes,Yes,2020,Yes,mid
535000.0,Eggplant,170000.0,Chevrolet,Cruze,Obour City,Yes,Yes,Yes,Yes,2013,Yes,mid
330000.0,Silver,220000.0,Skoda,Fabia,Nasr city,No,No,No,No,2012,No,low
600000.0,Black,185000.0,Kia,Rio,Obour City,Yes,Yes,Yes,No,2013,No,mid
950000.0,Black,65000.0,MG,5,Alexandria,Yes,Yes,Yes,Yes,2021,Yes,mid
328000.0,Cyan,400000.0,Volkswagen,Passat,Cairo,No,Yes,No,Yes,2002,No,low
295000.0,Gold,186000.0,Peugeot,406,Qalyubia,Yes,Yes,No,Yes,2001,No,low
1200000.0,Gray,33000.0,Chery,Tiggo 7,Alexandria,Yes,Yes,Yes,Yes,2021,Yes,mid
195000.0,Silver,53000.0,Suzuki,Maruti,Damietta,No,No,No,No,2011,No,low
680000.0,Bronze,183000.0,Canghe,Q35,Hurghada,Yes,Yes,Yes,Yes,2018,Yes,mid
1050000.0,White,48000.0,Jac,J7,Alexandria,Yes,Yes,Yes,No,2021,No,mid
1150000.0,Silver,220000.0,Mercedes,C 200,Cairo,Yes,Yes,Yes,Yes,2009,Yes,mid
1250000.0,Black,15000.0,Opel,Astra,6 October,Yes,Yes,Yes,Yes,2021,Yes,high
550000.0,Silver,200000.0,Toyota,Corolla,Amreya,Yes,Yes,Yes,Yes,2003,Yes,mid
400000.0,Black,127000.0,Nissan,Sunny,Mohandessin,No,No,No,No,2013,No,low
380000.0,Red,41000.0,Changan,Benni,Alexandria,Yes,Yes,Yes,No,2016,No,low
56000.0,Petroleum,63000.0,Fiat,128,Mokattam,No,No,No,No,1988,No,low
800000.0,White,120000.0,Kia,Soul,Dyarb Negm,Yes,Yes,Yes,Yes,2013,Yes,mid
900000.0,White,125000.0,Kia,Cerato,Alexandria,Yes,Yes,No,Yes,2014,No,mid
520000.0,Petroleum,66000.0,Kia,Rio,Alexandria,Yes,No,No,No,2017,No,mid
850000.0,Petroleum,134000.0,Hyundai,Elantra HD,6 October,Yes,Yes,Yes,Yes,2019,Yes,mid
420000.0,Dark grey,435000.0,Chevrolet,Lanos,Tagamo3 - New Cairo,No,Yes,Yes,Yes,2017,No,low
565000.0,Black,120000.0,Toyota,Corolla,Imbaba,Yes,No,No,No,2008,No,mid
750000.0,Black,145000.0,Hyundai,Elantra MD,10th of Ramadan,No,No,No,No,2012,No,mid
2000000.0,Black,36000.0,Audi,A7,Kafr el-Sheikh,Yes,Yes,Yes,Yes,2022,Yes,high
485000.0,Red,131000.0,Hyundai,Getz,Zagazig,Yes,Yes,Yes,Yes,2010,Yes,low
735000.0,Silver,135000.0,Hyundai,Elantra MD,Cairo,Yes,Yes,Yes,Yes,2012,Yes,mid
900000.0,Gold,100000.0,Renault,Duster,Heliopolis,No,No,No,No,2018,No,mid
340000.0,Black,260000.0,Kia,Spectra,Giza,No,No,No,No,2003,No,low
210000.0,Dark red,258000.0,Hyundai,Excel,Pyramids Gardens,No,Yes,Yes,Yes,1996,No,low
310000.0,Silver,128000.0,Daewoo,Lanos 2,Alexandria,No,No,Yes,No,2003,No,low
560000.0,Black,30000.0,Chevrolet,Cruze,Obour City,Yes,Yes,Yes,Yes,2013,Yes,mid
650000.0,Champagne,28000.0,Ford,EcoSport,Pyramids Gardens,Yes,Yes,Yes,Yes,2019,Yes,mid
1500000.0,Black,140000.0,Kia,Sportage,Nasr city,Yes,Yes,Yes,Yes,2016,Yes,high
2750000.0,Black,1600.0,Citroën,C5,Sheikh Zayed City,Yes,Yes,Yes,Yes,2024,Yes,high
530000.0,Silver,135000.0,Hyundai,Matrix,Mansoura,Yes,Yes,Yes,Yes,2007,Yes,mid
2150000.0,White,70000.0,Kia,Sportage,Pyramids Gardens,Yes,Yes,Yes,Yes,2020,Yes,high
880000.0,Black,120000.0,Hyundai,Elantra,Tagamo3 - New Cairo,Yes,Yes,Yes,Yes,2016,Yes,mid
3250000.0,Black,130000.0,BMW,520,Sheikh Zayed City,Yes,Yes,Yes,Yes,2019,Yes,high
1650000.0,Gray,99000.0,Skoda,Superb,Damietta,Yes,Yes,Yes,Yes,2019,Yes,high
4150000.0,Black,52000.0,Mercedes,E 200,Tagamo3 - New Cairo,Yes,Yes,Yes,Yes,2020,Yes,high
730000.0,Black,120000.0,Hyundai,Elantra HD,Qalyubia,No,No,No,No,2013,No,mid
655000.0,Bronze,65000.0,Chery,Arrizo 5,El Haram,Yes,Yes,Yes,Yes,2022,Yes,mid
290000.0,Blue,420000.0,Geely,Emgrand 7,Cairo,No,No,No,No,2014,No,low
675000.0,Gray,115000.0,Chevrolet,Cruze,Alexandria,Yes,Yes,Yes,Yes,2016,Yes,mid
550000.0,Silver,190000.0,Hyundai,Getz,Mansoura,Yes,Yes,Yes,Yes,2008,Yes,mid
720000.0,Gray,174000.0,Mitsubishi,Lancer,El Haram,Yes,Yes,Yes,No,2016,No,mid
730000.0,Dark grey,120000.0,Nissan,Sunny,Alexandria,Yes,Yes,Yes,Yes,2020,Yes,mid
215000.0,Silver,300000.0,Daewoo,Nubira 2,El Mahalla,No,No,No,No,2001,No,low
1100000.0,Silver,130000.0,Kia,Sportage,Damanhur,Yes,Yes,Yes,Yes,2012,Yes,mid
900000.0,Silver,22000.0,MG,5,Damanhur,Yes,Yes,Yes,Yes,2022,Yes,mid
600000.0,Dark red,290000.0,Fiat,Doblo,Cairo,No,Yes,No,Yes,2017,No,mid
500000.0,Black,145000.0,Chery,Tiggo,Cairo,No,No,No,No,2012,No,low
1550000.0,Blue,16000.0,Jetour,X70S,Pyramids Gardens,Yes,No,No,No,2023,No,high
2750000.0,Petroleum,70000.0,Volkswagen,Tiguan,Obour City,Yes,Yes,Yes,Yes,2022,Yes,high
950000.0,Black,130000.0,Hyundai,Elantra,Cairo,Yes,No,No,No,2019,No,mid
1350000.0,Petroleum,94000.0,Skoda,Octavia A7,Cairo,Yes,Yes,Yes,Yes,2016,Yes,high
300000.0,Dark grey,137000.0,Suzuki,Alto,Obour City,No,Yes,No,No,2015,No,low
460000.0,Black,128000.0,Daewoo,Lacetti,Qalyubia,No,No,No,No,2008,No,low
670000.0,Black,130000.0,Skoda,Fantasia,Heliopolis,No,No,No,No,2010,No,mid
460000.0,Gold,186000.0,Nissan,Sunny,Nasr city,No,No,No,No,2012,No,low
395000.0,Silver,235000.0,Hyundai,Verna,6 October,No,Yes,No,Yes,2015,No,low
1100000.0,Dark grey,175000.0,Nissan,Qashqai,Obour City,Yes,Yes,No,Yes,2017,No,mid
875000.0,Black,95000.0,Fiat,500C,Suez,Yes,Yes,Yes,Yes,2015,Yes,mid
719000.0,Bronze,60000.0,Renault,Sandero Step Way,Maadi,Yes,Yes,Yes,Yes,2021,Yes,mid
699000.0,Silver,145000.0,Chevrolet,Cruze,Dakahlia,Yes,Yes,Yes,Yes,2015,Yes,mid
750000.0,Petroleum,52000.0,Chevrolet,Optra,El Haram,Yes,Yes,Yes,Yes,2021,Yes,mid
400000.0,Dark grey,225000.0,Hyundai,Verna,Faiyum,No,No,No,No,2013,No,low
445000.0,Cyan,135000.0,Hyundai,Accent,Cairo,No,No,No,No,2009,No,low
3100000.0,Black,90000.0,Jeep,Grand Cherokee,Heliopolis,No,No,No,No,2015,No,high
575000.0,Gold,350000.0,Mazda,3,Cairo,Yes,Yes,Yes,Yes,2008,Yes,mid
1780000.0,Dark blue,75000.0,Kia,Sportage,Beni Suef,Yes,Yes,Yes,Yes,2021,Yes,high
2920000.0,Black,33000.0,Mercedes,GLA,Sheikh Zayed City,Yes,Yes,Yes,Yes,2021,Yes,high
1325000.0,Silver,70000.0,Kia,Cerato,El Minya,Yes,No,No,Yes,2018,No,high
1950000.0,White,28000.0,Hyundai,Tucson,El Minya,Yes,Yes,Yes,Yes,2021,Yes,high
480000.0,Red,109000.0,Kia,Soul,Faqous,Yes,Yes,Yes,Yes,2010,Yes,low
1450000.0,Black,100000.0,Kia,Sportage,6 October,Yes,Yes,No,No,2017,No,high
1550000.0,Silver,75000.0,Hyundai,Tucson,6 October,Yes,Yes,Yes,Yes,2017,Yes,high
1780000.0,Silver,100000.0,Hyundai,Tucson,6 October,Yes,Yes,Yes,Yes,2019,Yes,high
2750000.0,Silver,95000.0,Mercedes,GLK 250,Heliopolis,Yes,Yes,Yes,Yes,2015,Yes,high
345000.0,Silver,135000.0,Proton,Saga,Cairo,No,No,No,No,2011,No,low
3000000.0,Yellow,55000.0,Mercedes,CLA 200,Alexandria,Yes,Yes,Yes,Yes,2020,Yes,high
1750000.0,White,150.0,Hyundai,Elantra CN7,Heliopolis,No,No,No,No,2023,No,high
1020000.0,Black,60000.0,Renault,Duster,Mohandessin,Yes,Yes,Yes,Yes,2020,Yes,mid
240000.0,Dark blue,249000.0,Daewoo,Lanos 2,Agamy,No,No,No,No,2001,No,low
940000.0,Eggplant,182000.0,Opel,Insignia,Sheikh Zayed City,No,No,No,No,2014,No,mid
1460000.0,White,60000.0,Toyota,Rush,Shobra,Yes,Yes,Yes,Yes,2022,Yes,high
1100000.0,Silver,198000.0,Kia,Carens,Al Shorouk,Yes,Yes,Yes,Yes,2015,Yes,mid
650000.0,Black,60000.0,Renault,Logan,Nasr city,No,Yes,Yes,Yes,2022,No,mid
2600000.0,White,155000.0,Jeep,Grand Cherokee,Mohandessin,Yes,Yes,No,Yes,2016,No,high
1150000.0,Blue,137000.0,Renault,Kadjar,Tagamo3 - New Cairo,Yes,Yes,Yes,Yes,2018,Yes,mid
400000.0,Blue,175000.0,Brilliance,FRV,Heliopolis,Yes,No,No,No,2013,No,low
490000.0,Silver,83000.0,Chevrolet,Aveo,Tagamo3 - New Cairo,Yes,Yes,Yes,Yes,2008,Yes,low
375000.0,Black,129000.0,Hyundai,I10,Giza,No,No,No,No,2010,No,low
800000.0,Bronze,186000.0,Renault,Duster,Aswan,Yes,Yes,Yes,Yes,2019,Yes,mid
400000.0,White,156000.0,Suzuki,Alto,Suez,No,Yes,No,Yes,2019,No,low
660000.0,Silver,160000.0,Mitsubishi,Lancer EX Shark,Gharbia,Yes,No,No,No,2016,No,mid
230000.0,White,200000.0,Mercedes,200,Giza,No,No,No,No,1984,No,low
780000.0,Black,42000.0,MG,5,Shobra,Yes,Yes,Yes,Yes,2021,Yes,mid
2300000.0,Gray,10000.0,Seat,Leon,Cairo,No,No,No,No,2023,No,high
500000.0,Dark red,200000.0,Jeep,Grand Cherokee,Alexandria,Yes,No,No,No,1996,No,low
470000.0,Dark grey,250000.0,Chevrolet,Optra,Qalyub,Yes,Yes,Yes,Yes,2018,Yes,low
600000.0,Silver,84000.0,Nissan,Sunny,Alexandria,No,No,No,No,2014,No,mid
550000.0,White,90000.0,Nissan,Urvan,Cairo,No,No,No,No,2014,No,mid
820000.0,Black,105000.0,Mitsubishi,Lancer EX Shark,Giza,Yes,No,No,No,2016,No,mid
975000.0,Red,23000.0,Suzuki,Swift,Damietta,Yes,Yes,Yes,Yes,2022,Yes,mid
390000.0,Petroleum,100000.0,Chevrolet,Lanos,6 October,No,No,No,No,2017,No,low
1250000.0,Eggplant,90000.0,Toyota,Rush,6 October,Yes,Yes,Yes,Yes,2019,Yes,high
2600000.0,Dark grey,150000.0,Jeep,Cherokee,6 October,No,No,No,No,2016,No,high
1100000.0,Red,90000.0,Hyundai,IX 35,Cairo,Yes,Yes,No,Yes,2015,No,mid
470000.0,Gold,144000.0,Hyundai,Avante,Sohag,Yes,Yes,Yes,Yes,2000,Yes,low
620000.0,Gray,160000.0,Mitsubishi,Lancer EX Shark,Cairo,No,No,No,No,2015,No,mid
465000.0,Red,150000.0,Byd,F3,Heliopolis,No,No,No,No,2020,No,low
825000.0,Red,114000.0,Hyundai,Elantra HD,Cairo,Yes,Yes,Yes,Yes,2020,Yes,mid
950000.0,Red,200000.0,MG,ZS,Mohandessin,Yes,Yes,Yes,Yes,2022,Yes,mid
930000.0,White,60000.0,Chery,Tiggo 3,Al Shorouk,Yes,Yes,Yes,Yes,2022,Yes,mid
1330000.0,Dark red,170000.0,Opel,Insignia,Nasr city,Yes,Yes,Yes,Yes,2018,Yes,high
920000.0,Silver,93000.0,Toyota,Yaris,Tagamo3 - New Cairo,Yes,No,No,Yes,2018,No,mid
650000.0,Dark grey,202000.0,Opel,Astra,Obour City,No,No,No,No,2014,No,mid
250000.0,Red,200000.0,Opel,Vectra,Alexandria,No,No,No,Yes,1997,No,low
935000.0,White,100000.0,Kia,Cerato,Nasr city,Yes,Yes,No,Yes,2016,No,mid
800000.0,Silver,117000.0,Suzuki,Ciaz,Tagamo3 - New Cairo,Yes,Yes,Yes,No,2018,No,mid
950000.0,Silver,100000.0,Honda,Civic,Tagamo3 - New Cairo,Yes,Yes,Yes,Yes,2013,Yes,mid
490000.0,Brown,58000.0,Lada,Granta,Nasr city,No,No,No,No,2022,No,low
800000.0,Gray,88000.0,Kia,Rio,Tagamo3 - New Cairo,No,No,No,No,2015,No,mid
770000.0,Cyan,130000.0,Hyundai,Elantra MD,10th of Ramadan,No,No,No,No,2012,No,mid
670000.0,Silver,96000.0,Kia,Rio,Alexandria,No,No,No,No,2014,No,mid
385000.0,White,200000.0,Emgrand,EC 7,El Minya,No,Yes,Yes,Yes,2015,No,low
450000.0,Dark red,270000.0,Hyundai,Matrix,Heliopolis,No,No,No,No,2008,No,low
379000.0,Black,128000.0,Speranza,Tiggo,Cairo,No,No,No,No,2012,No,low
430000.0,Silver,198000.0,Daewoo,Lacetti,Beheira,No,No,No,No,2004,No,low
1000000.0,Black,150000.0,Opel,Insignia,Nasr city,Yes,Yes,Yes,Yes,2014,Yes,mid
650000.0,White,49900.0,Kia,K3,El Haram,Yes,No,No,No,2013,No,mid
490000.0,Silver,58000.0,Nissan,Sunny,Mohandessin,No,No,No,No,2012,No,low
235000.0,White,70000.0,Speranza,A516,Maadi,No,No,No,No,2010,No,low
590000.0,Silver,148000.0,Hyundai,Elantra MD,Bilbeis,Yes,Yes,No,Yes,2011,No,mid
530000.0,Blue,16000.0,Suzuki,S Presso,6 October,No,Yes,Yes,Yes,2022,No,mid
680000.0,Black,166000.0,Volkswagen,Eos,Dakahlia,No,Yes,No,Yes,2007,No,mid
1600000.0,Black,104000.0,Kia,Sportage,El Haram,Yes,Yes,Yes,Yes,2017,Yes,high
830000.0,Mocha,80000.0,Geely,Emgrand X7,El Qanater El Khayreya,Yes,Yes,Yes,Yes,2019,Yes,mid
1200000.0,Black,51000.0,MG,6,Nasr city,Yes,Yes,Yes,Yes,2021,Yes,mid
680000.0,Silver,150000.0,Hyundai,Accent RB,Giza,Yes,No,No,No,2015,No,mid
1580000.0,Petroleum,83000.0,Kia,Sportage,Cairo,Yes,Yes,Yes,Yes,2019,Yes,high
730000.0,Petroleum,185000.0,Chevrolet,Optra,Cairo,Yes,Yes,Yes,Yes,2022,Yes,mid
255000.0,Gray,170000.0,Speranza,A620,Cairo,Yes,Yes,No,Yes,2007,No,low
690000.0,Dark red,130000.0,Chevrolet,Cruze,Nasr city,Yes,Yes,Yes,Yes,2016,Yes,mid
1350000.0,Silver,7000.0,Renault,Megane,Alexandria,Yes,Yes,Yes,Yes,2022,Yes,high
890000.0,Brown,140000.0,Kia,K3,El Manial,Yes,Yes,Yes,Yes,2016,Yes,mid
1350000.0,Silver,0.0,MG,5,Al Shorouk,Yes,Yes,Yes,Yes,2024,Yes,high
620000.0,Silver,120000.0,Jac,J2,Warraq,Yes,Yes,Yes,Yes,2019,Yes,mid
840000.0,Gray,30000.0,Chery,Arrizo 5,Mohandessin,Yes,Yes,Yes,Yes,2023,Yes,mid
300000.0,Dark green,255000.0,Skoda,Octavia A4,Amreya,No,No,No,No,1997,No,low
